"recordID","name","site","YEAR"
63,"EdmundsP","MCR",2015
63,"LegendreL",NA,2015
63,"MitaraiS",NA,2015
63,"MukoS",NA,2015
63,"NozawaY",NA,2015
63,"Padillo-GaminoJ",NA,2015
63,"PriceN","MCR",2015
63,"SakaiK",NA,2015
63,"SuzukiG",NA,2015
63,"Van OppenM",NA,2015
63,"YaridA",NA,2015
63,"SteneckR",NA,2015
63,"GatesR","MCR",2015
63,"AlbrightR",NA,2015
63,"CarpenterR","MCR",2015
63,"ChuiA",NA,2015
63,"FanT",NA,2015
63,"HariiS",NA,2015
63,"KitanoH",NA,2015
63,"KuriharaH",NA,2015
65,"FeaginR",NA,2015
65,"CarterG",NA,2015
65,"FiglusJ",NA,2015
65,"ZinnertJ","VCR",2015
65,"SigrenJ",NA,2015
65,"Mart{\'\i}nezM",NA,2015
65,"SilvaR",NA,2015
65,"SmithW",NA,2015
65,"CoxD",NA,2015
65,"YoungD","VCR",2015
66,"CraigE",NA,2015
66,"PearsonM",NA,2015
66,"Fraterrigo3",NA,2015
67,"PasulkaT",NA,2015
67,"LandryM","CCE",2015
68,"ToomeyM",NA,2015
68,"BohrerG",NA,2015
68,"BrzostekE","HFR",2015
68,"BurnsS",NA,2015
68,"CoursolleC",NA,2015
68,"HollingerD",NA,2015
68,"MargolisH",NA,2015
68,"McCaugheyH",NA,2015
68,"MonsonR","NWT",2015
68,"MungerJ","HFR",2015
68,"PallardyS",NA,2015
68,"FriedlM",NA,2015
68,"PhillipsR","HBR",2015
68,"TornM",NA,2015
68,"WhartonS",NA,2015
68,"ZeriM",NA,2015
68,"RichardsonA","HBR",2015
68,"RichardsonA","HFR",2015
68,"FrolkingS",NA,2015
68,"HufkensK","HFR",2015
68,"KlostermanS","HFR",2015
68,"SonnentagO",NA,2015
68,"BaldocchiD",NA,2015
68,"BernacchiC",NA,2015
68,"BiraudS",NA,2015
69,"HerdmanL",NA,2015
69,"HenchJ","MCR",2015
69,"MonismithS",NA,2015
70,"JacksonC",NA,2015
70,"LeighS",NA,2015
70,"ScarbroughL",NA,2015
70,"ChambleeF",NA,2015
71,"DeitchlerE",NA,2015
71,"M.J",NA,2015
71,"H.W",NA,2015
72,"LenihanH","SBC",2015
72,"LenihanH","MCR",2015
72,"HenchJ","MCR",2015
72,"HolbrookS","SBC",2015
72,"HolbrookS","MCR",2015
72,"SchmittR","MCR",2015
72,"PotoskiM",NA,2015
73,"EthridgeS",NA,2015
74,"StukelM","CCE",2015
74,"StukelM","PAL",2015
74,"AsherE",NA,2015
74,"CoutoN",NA,2015
74,"SchofieldO","PAL",2015
74,"StrebelS",NA,2015
74,"TortellP","PAL",2015
74,"DucklowH","PAL",2015
75,"SherryT","HBR",2015
75,"WilsonS","FCE",2015
75,"HunterS",NA,2015
75,"HolmesR","HBR",2015
76,"GaiserE","FCE",2015
76,"GottliebA","FCE",2015
76,"LeeS","KBS",2015
76,"LeeS","FCE",2015
76,"LeeS","BES",2015
76,"TrexlerJ","FCE",2015
77,"HarrisC","MCM",2015
77,"HarrisC","SEV",2015
77,"HarrisC","KBS",2015
77,"FraserW","PAL",2015
77,"JouventinP",NA,2015
77,"LaRueM",NA,2015
77,"MahoY",NA,2015
77,"LynchH",NA,2015
77,"NaveenR",NA,2015
77,"Patterson-FraserD","PAL",2015
77,"PeterH",NA,2015
77,"PoncetS",NA,2015
